0,65,31,188,87,0,23,140,39,24,0,0,26,0,0,13,0,10,0,2,0,
0,131,19,351,139,0,50,264,106,25,0,0,33,2,0,49,0,20,0,3,0,
1,217,35,746,263,59,73,454,202,51,0,6,53,2,34,73,10,41,11,6,1,
4,237,64,702,248,35,128,505,255,100,0,14,69,0,33,134,7,76,17,36,5,
6,282,74,738,287,79,135,499,242,82,5,16,81,1,68,131,34,82,26,22,3,
1,315,35,1290,409,29,103,915,427,120,0,2,85,5,23,157,1,97,7,36,6,
6,394,76,1243,414,41,126,935,418,101,0,6,100,4,35,160,9,84,11,29,2,
5,394,82,1177,491,84,162,788,335,103,1,11,95,8,69,152,22,76,19,18,2,
7,336,66,1002,448,29,179,792,368,126,0,11,119,5,17,170,2,96,8,28,3,
1,186,29,632,187,22,53,398,189,31,0,4,33,3,14,72,1,22,7,6,0,
6,289,60,579,230,35,81,405,183,39,1,3,56,0,17,64,9,25,7,7,0,
3,157,18,480,126,11,23,266,121,27,0,2,29,0,5,28,0,8,2,7,0,
1,178,27,485,133,14,40,276,121,15,0,3,26,0,7,35,1,12,2,3,0,
1,164,24,500,199,9,37,302,138,44,0,2,47,0,1,24,0,32,0,4,1,
1,201,24,720,236,11,47,429,197,37,0,2,42,3,18,71,2,31,5,9,0,
2,204,29,688,281,18,49,547,195,77,0,0,61,7,21,76,2,43,2,9,3,
0,88,13,349,75,16,27,240,122,26,0,3,21,0,7,27,3,30,5,12,2,
0,65,9,256,136,7,28,261,132,59,0,4,43,2,19,54,3,46,4,14,4,
2,60,16,235,85,3,35,155,82,22,0,1,24,3,4,54,0,29,2,11,0,
2,219,38,467,187,19,92,292,173,37,0,3,36,3,10,81,1,34,6,11,0,
1,222,33,634,201,4,54,445,175,57,0,0,60,3,2,43,0,25,1,10,2,
1,328,56,969,304,57,111,626,310,57,1,9,66,0,22,113,14,63,10,15,1,
6,327,47,731,229,43,85,413,152,63,1,3,39,4,23,72,3,40,5,9,2,
5,204,31,546,152,34,59,371,154,51,1,5,18,1,20,56,6,42,4,18,3,
3,168,62,422,198,9,112,339,176,73,0,1,82,1,7,83,0,53,4,17,2,
5,297,48,807,304,8,104,542,232,46,0,7,59,6,6,102,0,44,4,10,0,
5,440,72,1216,434,37,153,822,388,109,0,5,89,10,27,169,1,81,7,26,3,
9,541,75,1381,417,110,158,842,401,82,0,13,59,16,54,133,17,74,19,22,2,
8,460,107,1179,543,73,222,989,531,207,0,13,134,16,94,256,21,170,27,69,10,
10,502,135,1218,552,101,263,892,467,152,0,17,128,15,82,266,29,129,23,41,4,
9,408,96,875,391,76,187,768,391,140,2,20,103,19,65,182,19,112,22,41,8,
0,312,59,1192,540,57,132,959,436,146,0,8,130,7,74,196,14,121,18,29,5,
8,413,107,846,421,89,169,707,357,127,0,8,97,2,39,135,15,90,19,20,5,
3,320,82,745,487,32,180,726,394,243,0,9,143,13,47,212,3,143,16,52,16,
0,243,39,694,234,12,68,459,234,47,0,5,40,11,16,98,0,39,6,14,1,
3,218,24,484,131,16,46,378,136,31,0,0,26,2,7,40,2,27,5,8,1,
2,239,31,569,163,32,76,350,201,37,0,5,21,3,12,66,4,39,9,14,1,
1,117,24,365,167,15,53,287,163,38,0,5,38,2,18,80,2,41,6,12,0,
1,117,28,364,129,24,52,238,120,28,0,5,33,0,7,49,5,34,6,5,0,
2,267,34,913,290,24,95,623,312,63,0,6,54,3,30,137,4,63,11,18,0,
2,340,102,951,443,55,193,825,410,197,0,11,156,4,31,192,8,155,12,55,17,
3,443,98,1288,534,70,200,961,571,168,0,11,121,12,63,252,15,148,25,59,7,
