"","x"
"946",4.87
"947",4.85
"948",4.87
"949",5.34
"950",5.26
"951",5.26
"952",5.3
"953",5.59
"954",5.59
"955",5.79
"956",5.65
"957",5.65
"958",5.65
"959",5.64
"960",5.65
"961",5.81
"962",5.81
"963",5.68
"964",5.83
"965",5.82
"966",5.84
"967",6.14
"968",5.97
"969",5.97
"970",5.91
"971",5.55
"972",5.57
"973",5.52
"974",5.64
"975",5.7
"976",5.68
"977",5.71
"978",5.72
"979",5.72
"980",5.71
"981",5.64
"982",5.64
"983",5.64
"984",5.64
"985",5.95
"986",5.96
"987",5.96
"988",5.81
"989",5.81
"990",5.73
"991",5.74
"992",5.72
"993",5.72
"994",5.72
"995",5.72
"996",5.72
"997",5.55
"998",5.57
"999",5.57
"1000",5.21
"1001",5.35
"1002",5.37
"1003",5.58
"1004",5.58
"1005",5.74
"1006",5.72
"1007",5.74
"1008",5.74
"1009",5.74
"1010",5.74
"1011",5.74
"1012",5.75
"1013",5.73
"1014",5.73
"1015",6.18
"1016",6.17
"1017",6.17
"1018",6.17
"1019",6.4
"1020",6.35
"1021",6.35
"1022",6.19
"1023",6.21
"1024",6.3
"1025",6.3
"1026",6.3
"1027",6.3
"1028",6.16
"1029",6.16
"1030",12.16
"1031",11.7
"1032",11.7
"1033",11.67
"1034",11.84
"1035",11.87
"1036",12.32
"1037",12.3
"1038",13.59
"1039",13.59
"1040",13.61
"1041",13.59
"1042",13.59
"1043",13.62
"1044",13.99
"1045",13.99
"1046",14.01
"1047",13.5
"1048",14
"1049",14
"1050",14.01
"1051",14.01
"1052",14.01
"1053",14.01
"1054",14.01
"1055",13.84
"1056",13.83
"1057",13.25
"1058",13.26
"1059",13.25
"1060",13.25
"1061",13.26
"1062",11.77
"1063",11.8
"1064",11.81
"1065",11.8
"1066",11.8
"1067",11.37
"1068",11.37
"1069",6.43
"1070",6.35
"1071",5.01
"1072",5.01
"1073",5.18
"1074",5.18
"1075",4.85
"1076",4.85
"1077",4.86
"1078",4.86
"1079",4.98
"1080",5.01
"1081",5
"1082",5
"1083",4.57
"1084",4.68
"1085",4.68
"1086",4.63
"1087",5.03
"1088",5.01
"1089",5.16
"1090",5.17
"1091",5.72
"1092",6.59
"1093",6.58
"1094",6.59
"1095",6.59
"1096",6.58
"1097",6.58
"1098",6.58
"1099",6.94
"1100",6.16
"1101",6.22
"1102",6.26
"1103",6.06
"1104",5.89
"1105",5.44
"1106",5.44
"1107",5.65
"1108",5.65
"1109",5.63
"1110",5.63
"1111",5.64
"1112",5.66
"1113",5.67
"1114",5.67
"1115",5.33
"1116",5.33
"1117",5.32
"1118",5.5
"1119",5.98
"1120",5.98
"1121",6.11
"1122",5.81
"1123",6.03
"1124",5.98
"1125",5.86
"1126",5.85
"1127",5.87
"1128",5.87
"1129",5.61
"1130",5.61
"1131",6.36
"1132",6.29
"1133",6.25
"1134",6.25
"1135",6.06
"1136",6.19
"1137",6.19
"1138",6.19
"1139",6.19
"1140",6.29
"1141",7.97
"1142",7.97
"1143",7.97
"1144",7.97
"1145",8.43
"1146",8.43
"1147",8.43
"1148",8.42
"1149",8.44
"1150",8.43
"1151",8.43
"1152",8.44
"1153",8.44
"1154",8.44
"1155",8.44
"1156",8.42
"1157",8.21
"1158",7.79
"1159",15.75
"1160",16.79
"1161",11.97
"1162",11.97
"1163",11.99
"1164",11.46
"1165",10.43
"1166",10.43
"1167",10.51
"1168",10.51
"1169",10.51
"1170",11.76
"1171",11.76
"1172",11.79
"1173",7.02
"1174",7.23
"1175",7.23
"1176",7.23
"1177",7.23
"1178",7.29
"1179",7.06
"1180",5.39
"1181",5.38
"1182",5.38
"1183",5.38
"1184",5.3
"1185",5.45
"1186",5.29
"1187",5.32
"1188",5.32
"1189",5.32
"1190",5.33
"1191",5.33
"1192",5.35
"1193",5.34
"1194",5.25
"1195",5.28
"1196",5.17
"1197",5.17
"1198",5.16
"1199",5.16
"1200",3.94
"1201",4.28
"1202",4.39
"1203",3.82
"1204",3.74
"1205",3.74
"1206",3.83
"1207",3.63
"1208",4.1
"1209",4.19
"1210",4.29
"1211",4.22
"1212",4.51
"1213",4.64
"1214",4.64
"1215",4.66
"1216",4.55
"1217",4.54
"1218",4.62
"1219",4.81
"1220",4.82
"1221",4.82
"1222",4.82
"1223",4.71
"1224",4.71
"1225",4.66
"1226",4.74
"1227",4.73
"1228",4.73
"1229",4.74
"1230",4.74
"1231",4.85
"1232",4.85
"1233",4.85
"1234",4.81
"1235",4.7
"1236",4.7
"1237",4.7
"1238",5.06
"1239",4.96
"1240",4.88
"1241",4.73
"1242",4.73
"1243",4.73
"1244",4.73
"1245",4.2
"1246",4.14
"1247",4.14
"1248",4.21
"1249",4.04
"1250",4
"1251",4.1
"1252",4.1
"1253",4.1
"1254",4.07
"1255",4.09
"1256",4.04
"1257",4.04
"1258",4.04
"1259",4.05
"1260",3.89
"1261",3.89
"1262",3.72
"1263",3.52
"1264",3.52
"1265",3.5
"1266",3.5
"1267",3.71
"1268",3.67
"1269",3.71
"1270",3.72
"1271",3.71
"1272",3.71
